Vbe [V]	Ic1 [mA]	Ic2 [mA]	Ic3 [mA]
0.399	0.0004	0.0016	0.0132
0.41	0.0006	0.0018	0.0187
0.42	0.0009	0.0062	0.0251
0.43	0.0011	0.0083	0.0345
0.441	0.0018	0.0115	0.0484
0.45	0.0024	0.0161	0.0676
0.46	0.0034	0.0225	0.0945
0.47	0.0048	0.0322	0.13
0.48	0.007	0.0455	0.1866
0.49	0.0099	0.0657	0.2632
0.5	0.0145	0.0949	0.3614
0.51	0.0212	0.1337	0.5027
0.52	0.0307	0.1905	0.7144
0.53	0.0459	0.2719	0.9684
0.54	0.0655	0.3867	1.3361
0.55	0.0987	0.5374	NaN
0.56	0.1448	0.7769	NaN
0.57	0.2134	1.0688	NaN
0.58	0.3084	NaN	NaN
0.59	0.4475	NaN	NaN
0.6	0.644	NaN	NaN
