T	deltaE
306	13.11
312.95	12.20666667
313.7	12.07333333
314.7	11.87333333
315.7	11.65333333
316.7	11.45333333
317.7	11.19666667
318.7	10.88333333
319.7	10.66666667
320.65	10.32666667
321.75	10
322.8	9.606666667
323.8	9.203333333
324.7	8.643333333
326	8.03
327.2	7.2
327.85	6.766666667
328.65	5.18
328.9	4.313333333
329.3	3.28
330.2	1.02
330.8	0.14
331.25	-0.486666667
331.65	-1.026666667
331.95	-1.386666667
332.05	-1.47
332.4	-1.726666667
332.7	-1.913333333
333	-1.766666667
333.95	-2.163333333
335.45	-2.496666667
335.75	-3.046666667
337.6	-3.193333333
338.1	-3.393333333
