T_average	E_average
306	8.92
312.95	9.002222222
313.7	8.991111111
314.7	9.024444444
315.7	9.051111111
316.7	9.084444444
317.7	9.115555556
318.7	9.144444444
319.7	9.188888889
320.65	9.275555556
321.75	9.333333333
322.8	9.435555556
323.8	9.484444444
324.7	9.597777778
326	9.626666667
327.2	9.8
327.85	9.888888889
328.65	10.72666667
328.9	11.10444444
329.3	11.59333333
330.2	11.54
330.8	11.54666667
331.25	11.50444444
331.65	11.42444444
331.95	11.50444444
332.05	11.56
332.4	11.59111111
332.7	11.59555556
333	11.37777778
333.95	11.56222222
335.45	11.78444444
335.75	12.15111111
337.6	12.26888889
338.1	12.40222222
