U [V]	C [nF]
0.7	0.682092613
0.8	0.795774715
0.95	0.737138684
1	0.763943727
1.1	0.72343156
1.2	0.769248892
1.4	0.710513139
1.6	0.696302876
1.8	0.707355303
1.98	0.675202789
2.1	0.682092613
2.2	0.694494297
2.3	0.691978013
2.4	0.729460156
2.5	0.732112738
2.7	0.707355303
2.8	0.795774715
2.95	0.798472257
3.1	0.85224905
3.5	0.909456818
4	0.994718394
4.8	1.127347514
5.2	1.236511481
5.6	1.295975965
6.1	1.330639688
6.5	1.371181048
7	1.409658067
7.5	1.443004817
8.1	1.493305639
8.5	1.497928876
9	1.503130018
9.5	1.541289975
10.2	1.560342579
