U_RMS [V]	C [nF]
0.494974747	0.682092613
0.565685425	0.795774715
0.671751442	0.737138684
0.707106781	0.763943727
0.777817459	0.72343156
0.848528137	0.769248892
0.989949494	0.710513139
1.13137085	0.696302876
1.272792206	0.707355303
1.400071427	0.675202789
1.48492424	0.682092613
1.555634919	0.694494297
1.626345597	0.691978013
1.697056275	0.729460156
1.767766953	0.732112738
1.909188309	0.707355303
1.979898987	0.795774715
2.085965005	0.798472257
2.192031022	0.85224905
2.474873734	0.909456818
2.828427125	0.994718394
3.39411255	1.127347514
3.676955262	1.236511481
3.959797975	1.295975965
4.313351365	1.330639688
4.596194078	1.371181048
4.949747468	1.409658067
5.303300859	1.443004817
5.727564928	1.493305639
6.01040764	1.497928876
6.363961031	1.503130018
6.717514421	1.541289975
7.212489168	1.560342579
