T [K]	C [nF]
306	0.883
313	0.857
314	0.852
315	0.847
316	0.841
317	0.836
318	0.829
319	0.82
320	0.815
321	0.808
322.1	0.8
323	0.792
324	0.781
325	0.768
326.5	0.749
327.7	0.73
328.2	0.72
328.5	0.709
328.8	0.699
329	0.689
329.2	0.679
329.3	0.67
329.6	0.653
329.8	0.638
330.1	0.618
330.2	0.611
330.4	0.6
330.8	0.582
331	0.568
331.2	0.559
331.4	0.546
331.7	0.537
332	0.529
332.4	0.522
332.7	0.516
332.9	0.514
333	0.51
333.1	0.512
333.6	0.506
333.7	0.509
334.3	0.5045
334.4	0.509
335.5	0.506
337.5	0.507
338.1	0.507
