# Podatki o celici:
# širina celice             L = 1.5 mm
# razdalje med elektrodami  d = 1.4 mm

# U[V]  I[mA]
3       0.007
36      0.0027
94      0.0026
124     0.0025
153     0.0024
185     0.0022
213     0.0021
273     0.0021
285     0.0022
309     0.0025
318     0.0027
327     0.003
327     0.0031
358     0.0044
390     0.0071
407     0.0096
451     0.0191
477     0.026
510     0.04
543     0.0532
566     0.0645
598     0.0778
623     0.0875
641     0.091
687     0.089
713     0.079
738     0.065
779     0.035
801     0.016
824     0.007
848     0.0037
872     0.0085
888     0.016
906     0.033
915     0.041
936     0.057
942     0.06
954     0.069
974     0.079
991     0.084
1000    0.085
