Kot	I [A]
-100	6.33E-05
-99	6.77E-05
-98	7.14E-05
-97	7.23E-05
-96	7.25E-05
-95	6.93E-05
-94	6.52E-05
-93	6.02E-05
-92	5.31E-05
-91	4.75E-05
-90	4.34E-05
-89	3.38E-05
-88	3.06E-05
-87	2.50E-05
-86	1.33E-05
-85	8.55E-06
-84	5.45E-06
-83	4.79E-06
-82	5.85E-06
-81	8.59E-06
-80	1.28E-05
-79	1.78E-05
-78	2.12E-05
-77	2.64E-05
-76	3.25E-05
-75	4.07E-05
-74	4.59E-05
-73	4.93E-05
-72	5.46E-05
-71	5.89E-05
-70	6.28E-05
-69	6.45E-05
-68	6.45E-05
-67	6.31E-05
-66	6.14E-05
-65	5.87E-05
-64	5.62E-05
-63	5.36E-05
-62	5.00E-05
-61	4.43E-05
-60	3.69E-05
-59	3.11E-05
-58	2.82E-05
-57	2.56E-05
-56	1.88E-05
-55	1.43E-05
-54	1.02E-05
-53	7.62E-06
-52	5.96E-06
-51	4.52E-06
-50	3.50E-06
-49	3.71E-06
-48	4.96E-06
-47	6.74E-06
-46	8.43E-06
-45	1.05E-05
-44	1.32E-05
-43	1.61E-05
-42	1.90E-05
-41	2.28E-05
-40	2.72E-05
-39	3.26E-05
-38	3.67E-05
-37	3.97E-05
-36	4.37E-05
-35	4.67E-05
-34	5.11E-05
-33	5.59E-05
-32	5.73E-05
-31	6.07E-05
-30	6.63E-05
#--------------------------------------------------------------------------------	
-30	6.28E-05
-29	6.56E-05
-28	6.70E-05
-27	7.02E-05
-26	7.16E-05
-25	7.36E-05
-24	7.42E-05
-23	7.51E-05
-22	7.69E-05
-21	7.86E-05
-20	7.78E-05
-19	8.00E-05
-18	7.94E-05
-17	7.93E-05
-16	7.90E-05
-15	8.12E-05
-14	8.06E-05
-13	7.96E-05
-12	7.75E-05
-11	7.91E-05
-10	7.95E-05
-10	7.95E-05
-9	7.72E-05
-8	8.00E-05
-7	7.65E-05
-6	7.73E-05
-5	7.87E-05
-4	8.04E-05
-3	7.70E-05
-2	7.61E-05
-1	7.44E-05
0	7.95E-05
1	7.59E-05
2	7.98E-05
3	7.34E-05
4	7.35E-05
5	7.71E-05
6	7.20E-05
7	7.40E-05
8	7.46E-05
9	7.46E-05
10	7.28E-05
11	7.41E-05
12	7.39E-05
13	7.25E-05
14	7.06E-05
15	7.07E-05
16	7.10E-05
17	6.90E-05
18	6.76E-05
19	6.75E-05
20	6.63E-05
21	6.41E-05
22	6.25E-05
23	6.01E-05
24	5.93E-05
25	5.74E-05
26	5.53E-05
27	5.23E-05
28	5.01E-05
29	4.83E-05
30	4.50E-05
31	4.22E-05
32	4.13E-05
33	3.86E-05
34	3.56E-05
35	2.95E-05
36	2.78E-05
37	2.63E-05
38	2.34E-05
39	1.98E-05
40	1.60E-05
41	1.26E-05
42	1.00E-05
43	7.64E-06
44	6.07E-06
45	4.49E-06
46	3.90E-06
47	3.55E-06
48	5.51E-06
49	6.94E-06
50	6.48E-06
51	1.02E-05
52	1.24E-05
53	1.50E-05
54	1.96E-05
55	2.70E-05
56	3.42E-05
57	4.15E-05
58	4.76E-05
59	5.37E-05
60	5.69E-05
61	6.50E-05
62	7.25E-05
63	7.90E-05
64	8.31E-05
65	8.52E-05
66	8.62E-05
67	8.56E-05
68	8.45E-05
69	7.88E-05
70	7.37E-05
71	6.68E-05
72	6.28E-05
73	5.07E-05
74	4.29E-05
75	3.62E-05
76	3.30E-05
79	1.58E-05
80	1.02E-05
81	6.41E-06
82	3.75E-06
83	3.46E-06
84	4.57E-06
85	7.87E-06
86	1.23E-05
87	1.73E-05
88	1.85E-05
89	2.31E-05
90	3.01E-05
90	3.18E-05
91	3.64E-05
92	3.85E-05
93	3.80E-05
94	3.64E-05
95	3.35E-05
96	3.12E-05
97	2.88E-05
98	2.54E-05
99	2.51E-05
100	2.48E-05
