P_elek [W]	dP_elek[W]	P_tot [W]	dP_tot [W]
0	0	0	0.135465475
1	0.01	0.304106169	0.161202586
2.03	0.01	0.851497273	0.184484079
4.1	0.01	2.25038565	0.24541192
6.19	0.01	3.892558962	0.318265559
8.11	0.01	5.413089806	0.386332663
9.92	0.02	7.359369287	0.473901412
12.17	0.02	9.366470001	0.564500223
14.02	0.04	11.19110701	0.647017175
16.05	0.04	13.07656526	0.732384639
18.3	0.05	15.26612968	0.831607582
20.7	0.05	17.57733656	0.936412616
22.05	0.05	18.85458247	0.999918578
23.95	0.05	20.74004072	1.085034784
26.21	0.1	23.11206883	1.192235814
28.18	0.1	25.11916955	1.283025332
30.03	0.1	26.82216409	1.360105285
