P_elek [W]	dP_elek[W]	P_tot [W]	dP_tot [W]
0	0	2.980240455	0.135465475
1	0.01	3.284346624	0.161202586
2.03	0.01	3.831737728	0.184484079
4.1	0.01	5.230626105	0.24541192
6.19	0.01	6.872799416	0.318265559
8.11	0.01	8.393330261	0.386332663
9.92	0.02	10.33960974	0.473901412
12.17	0.02	12.34671046	0.564500223
14.02	0.04	14.17134747	0.647017175
16.05	0.04	16.05680572	0.732384639
18.3	0.05	18.24637013	0.831607582
20.7	0.05	20.55757702	0.936412616
22.05	0.05	21.83482292	0.999918578
23.95	0.05	23.72028117	1.085034784
26.21	0.1	26.09230929	1.192235814
28.18	0.1	28.09941	1.283025332
30.03	0.1	29.80240455	1.360105285
