T	dT	B	dB
1517.421923	23.27334237	1	0
1554.732847	24.90825769	0.981481481	0.026437362
1615.818111	25.59853657	0.904761905	0.023658817
1746.553716	27.26454083	0.802325581	0.018580854
1869.936871	28.97685578	0.743362832	0.014833679
1965.744665	30.3590428	0.673913043	0.012966506
2070.949766	31.90870472	0.647058824	0.010828052
2164.867615	33.31035678	0.600985222	0.009563095
2240.765011	34.45155618	0.583690987	0.008513852
2311.842886	35.52523334	0.549242424	0.007868319
2386.918815	36.66318165	0.526666667	0.007153237
2459.158432	37.76098659	0.50295858	0.006584472
2496.496413	38.44736818	0.509749304	0.007803649
2548.727976	39.22725106	0.484615385	0.007368394
2610.18721	40.14896829	0.461538462	0.006873274
2658.996882	40.88356402	0.474025974	0.006292102
2698.400162	41.47799942	0.465306122	0.005991362
