P_elek [W]	dP_elek[W]	PF	U[V]	dU [V]	I[mA]	dI[mA]	P_svetlobe [mW]	dP_svetlobe [mW]	P_svetlobe [mW]	dP_svetlobe [mW]
0	0	1	0	0	0	0	0.49		0.49	
1	0.01	1	23	0.1	42.9	0.1	0.54	0.01	0.53	0.01
2.03	0.01	1	37.8	0.1	53.4	0.1	0.63	0.01	0.57	0.01
4.1	0.01	1	60.8	0.1	67.6	0.1	0.86	0.01	0.69	0.01
6.19	0.01	1	79.5	0.1	77.6	0.1	1.13	0.01	0.84	0.01
8.11	0.01	1	95.2	0.1	85.3	0.1	1.38	0.01	0.93	0.01
9.92	0.02	1	108.4	0.1	91.5	0.1	1.7	0.01	1.1	0.01
12.17	0.02	1	123.8	0.2	98.3	0.1	2.03	0.01	1.22	0.01
14.02	0.04	1	136.1	0.2	103.1	0.1	2.33	0.01	1.36	0.01
16.05	0.04	1	148	0.2	108.1	0.1	2.64	0.01	1.45	0.01
18.3	0.05	1	161.3	0.2	113.2	0.1	3	0.01	1.58	0.01
20.7	0.05	1	175.2	0.2	118.2	0.1	3.38	0.01	1.7	0.01
22.05	0.05	1	182.5	0.5	120.8	0.2	3.59	0.02	1.83	0.01
23.95	0.05	1	192.5	0.5	124.2	0.02	3.9	0.02	1.89	0.01
26.21	0.1	1	203.8	0.5	128.1	0.02	4.29	0.02	1.98	0.01
28.18	0.1	1	214.1	0.5	131.7	0.02	4.62	0.02	2.19	0.01
30.03	0.1	1	223.2	0.4	134.5	0.02	4.9	0.02	2.28	0.01
