T	dT	R	dR
1517.421923	23.27334237	NaN		NaN
1554.732847	24.90825769	536.1305361	2.644877269
1615.818111	25.59853657	707.8651685	2.294349968
1746.553716	27.26454083	899.408284	1.989595621
1869.936871	28.97685578	1024.484536	1.844885869
1965.744665	30.3590428	1116.060961	1.756776049
2070.949766	31.90870472	1184.699454	1.694346091
2164.867615	33.31035678	1259.409969	2.404370323
2240.765011	34.45155618	1320.077595	2.324319371
2311.842886	35.52523334	1369.102683	2.242113646
2386.918815	36.66318165	1424.911661	2.169330237
2459.158432	37.76098659	1482.233503	2.106075023
2496.496413	38.44736818	1510.761589	4.83613794
2548.727976	39.22725106	1549.919485	4.033494192
2610.18721	40.14896829	1590.944575	3.911096166
2658.996882	40.88356402	1625.664389	3.804525427
2698.400162	41.47799942	1659.479554	2.984197579
