T	dT	R	dR
295.2	0.2	121.4	0.1
881.573491	28.34795531	536.1305361	2.644877269
1140.375899	29.19430118	707.8651685	2.294349968
1454.006849	31.18154958	899.408284	1.989595621
1667.481464	33.18698662	1024.484536	1.844885869
1810.770969	34.79284792	1116.060961	1.756776049
1955.295334	36.58568213	1184.699454	1.694346091
2076.807299	38.20300424	1259.409969	2.404370323
2171.303223	39.51783018	1320.077595	2.324319371
2257.488966	40.75372129	1369.102683	2.242113646
2346.575066	42.06270333	1424.911661	2.169330237
2430.75105	43.32485639	1482.233503	2.106075023
2473.753632	44.08680634	1510.761589	4.83613794
2533.404958	44.98660377	1549.919485	4.033494192
2602.926593	46.04910474	1590.944575	3.911096166
2657.685177	46.89530593	1625.664389	3.804525427
2701.628746	47.57972841	1659.479554	2.984197579
