frek [kHz]	dfrek [kHz]	rms U1 [mV]	drms U1 [mV]
8.7	0.5	2.03	0.01
11.1	0.2	2.53	0.01
13.9	0.1	3.08	0.01
15.6	0.1	3.56	0.01
18.6	0.1	4.31	0.01
20.7	0.1	4.88	0.01
23.7	0.2	5.8	0.01
25.4	0.2	6.32	0.01
28.5	0.2	7.39	0.01
30.5	0.2	8.35	0.01
33.7	0.2	10.1	0.05
34.16	0.2	10.5	0.05
38.3	0.2	12.2	0.05
40.5	0.2	13.4	0.05
43.4	0.2	16.1	0.05
45.3	0.2	18	0.05
48.6	0.2	22.3	0.05
50.8	0.2	26.1	0.05
53.8	0.1	33.3	0.05
55.6	0.1	39.5	0.05
58.9	0.1	56.8	0.05
61	0.1	78.8	0.05
63.6	0.2	152	0.5
64.7	0.2	231	0.5
65.1	0.2	268	0.5
65.4	0.2	286	0.5
66.1	0.2	356	0.5
66.6	0.2	317	0.5
67.2	0.2	236	0.5
68.1	0.2	219	0.5
69.3	0.2	186	0.5
70.4	0.2	147	0.5
73.5	0.2	77.4	0.05
75	0.1	62.3	0.05
78.1	0.2	47	0.05
80	0.2	40.2	0.05
82.9	0.2	33.6	0.05
84.8	0.2	30.4	0.05
87.5	0.2	26.8	0.05
89.5	0.5	24.9	0.05
92.5	0.5	22.4	0.05
94	0.5	21.1	0.05
96.7	0.5	19.4	0.05
